name,tokens,md_files,unique_basenames
## guides,97780,44,44
manufacturing,5608,5,5
operations,24618,3,3
qms-sops,5627,7,7
sds,16858,5,5
software,3204,3,3
test-site,14016,16,16
test-training,18960,3,3
test-validation,8889,2,2
## pilots,84600,19,18
pilot-data,84600,19,18
## regulatory,831536,105,105
fda-euas,44009,1,1
fda-policy,286088,47,47
fl-fda-submissions,180141,15,15
fl-fda-correspondence,20562,10,10
irb,8879,2,2
ldts,228143,10,10
open-euas,11180,4,4
reg-articles-misc,35556,3,3
surveillance,16978,13,13
## various,330015,55,55
external-programs-reports,51969,10,10
fl-patent,45623,1,1
fl-presentations,45405,9,9
fl-proposals,29724,6,6
fl-whitepapers,7696,2,2
glamp,79227,2,2
lamp-tech,4575,1,1
papers,1152,1,1
papers-lamp,0,0,0
xprize,64644,23,23
