file_name_actual,last updated,file_name,file_date,title,category,subcategory,tags,source_file_type,xfile_type,gfile_url,xfile_github_download_url,pdf_gdrive_url,pdf_github_url,conversion_input_file_type,conversion,license,tokens,words,notes,summary_short,h1_count
Assay and Reagent Manufacturing Diagrams.md,2026-02-15 RT initial conversion,Assay and Reagent Manufacturing Diagrams.md,2022-02-01,FloodLAMP Assay and Reagent Manufacturing Diagrams,guides,manufacturing,,gslide,pptx,https://docs.google.com/presentation/d/10kiok18TcbatUeareNyUyrcr90_ib0gT56NpWsIh58U,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/manufacturing/Assay%20and%20Reagent%20Manufacturing%20Diagrams.pptx,https://drive.google.com/file/d/1uyKevLkDpU1De9Gl8Y2fi1CHgNfvMl7f,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/manufacturing/Assay%20and%20Reagent%20Manufacturing%20Diagrams.pdf,pptx,msmid,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1958,925,This is a presentation (pptx/Google Slides) consisting primarily of manufacturing process flow diagrams (images). The markdown content lists slide titles only as placeholders since the slides are image-based diagrams. Refer to the source PDF or pptx for the actual diagrams.,"The FloodLAMP Assay and Reagent Manufacturing Diagrams is a 19-slide presentation containing process flow diagrams for all key reagent manufacturing and assay workflows. It covers the FloodLAMP Direct RNA Assays (QuickColor LAMP and EasyPCR) at 48- and 96-reaction scales, validation first-run setup, gamma contrived positive preparation, 100X Inactivation Solution manufacturing (standard and XL batches), 1X Inactivation Saline Solution preparation, Twist Positive Control aliquoting, Gamma Blue and 10K dilution series, Primer-Guanidine Solution (PGS) batching, colorimetric CLAMP assay setup, 5X PCR primer preparation, and PCR assay reaction mix preparation.",0
SOP-201-A_2 PGS48 Manufacturing - Run Form.md,2026-02-16 BA after RT initial conversion,SOP-201-A_2 PGS48 Manufacturing - Run Form.md,2022-02-26,FloodLAMP QMS SOP-201-A_2 PGS48 Manufacturing - Run Form,guides,manufacturing,,gdoc,docx,https://docs.google.com/document/d/1OE4rCaCn2htHdlq_Q_Nk9Mu-MpMgTtwO,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/manufacturing/SOP-201-A_2%20PGS48%20Manufacturing%20-%20Run%20Form.docx,https://drive.google.com/file/d/1QPBDtkL4h9dFd4yP_X8J5ZpmaJNkUPYJ,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/manufacturing/SOP-201-A_2%20PGS48%20Manufacturing%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1444,842,,"The FloodLAMP QMS SOP-201-A_2 is a manufacturing run form for producing PGS48 (Primer-Guanidine Solution, 48-reaction aliquots). It covers preparation, safety procedures, step-by-step PGS mixing instructions (primer resuspension, guanidine-HCl addition, vortexing), materials checklist with product/lot tracking, and robotic aliquoting on an Opentrons liquid handler. The form includes write-in fields for location, operator, date, and lot tracking, plus startup/shutdown procedures for the Opentrons robot.",0
SOP-202-A_1 100XIS Manufacturing - Run Form.md,2026-02-15 BA after RT initial conversion,SOP-202-A_1 100XIS Manufacturing - Run Form.md,2022-01-21,FloodLAMP QMS SOP-202-A_1 100XIS Manufacturing - Run Form,guides,manufacturing,,gdoc,docx,https://docs.google.com/document/d/1pzBrcBLajWdFH0M_ib3bILgtN7EN5h4G2KROieLmN78,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/manufacturing/SOP-202-A_1%20100XIS%20Manufacturing%20-%20Run%20Form.docx,https://drive.google.com/file/d/1Th-fjY0mqBwXC74ZZwirwFW-iHAPIZ8F,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/manufacturing/SOP-202-A_1%20100XIS%20Manufacturing%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,496,262,,"The FloodLAMP QMS SOP-202-A_1 is a manufacturing run form for producing 100X Inactivation Solution (100XIS). It provides step-by-step instructions for combining TCEP, nuclease-free water, EDTA, and NaOH in a 1L glass bottle, followed by aliquoting 5 mL into labeled screw cap vials for storage at -20°C. The form includes safety procedures (fume hood, PPE), a materials checklist with lot/product ID tracking fields, equipment requirements, and write-in fields for operator documentation.",0
SOP-301 PGS48 Verification - Run Form.md,2026-02-16 BA after RT initial conversion,SOP-301 PGS48 Verification - Run Form.md,2022-01-01,FloodLAMP QMS SOP-301 PGS48 Verification - Run Form,guides,manufacturing,,gdoc,docx,https://docs.google.com/document/d/1mVuPCxzU2bUILebEfg7gvHwjzD6DwGqv,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/manufacturing/SOP-301%20PGS48%20Verification%20-%20Run%20Form.docx,https://drive.google.com/file/d/1W7vkFU0raZso77GsFPm3LWNDMkqKmwm1,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/manufacturing/SOP-301%20PGS48%20Verification%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1198,671,,"The FloodLAMP QMS SOP-301 is a verification run form for testing PGS48 (Primer-Guanidine Solution) batches via CLAMP amplification. It covers preparation of reaction mixes (46 µL PGS + 55 µL CLAMP MM per tube), positive/negative control setup, and a plate layout map for tracking POS/NEG results by PGS lot number. The second half includes an Amp Run Sheet Short with standard amplification procedures, heater settings (65°C for 25 min), and write-in fields for operator documentation and result logging.",0
SOP-302 100XIS Verification - Run Form.md,2026-02-16 BA after RT initial conversion,SOP-302 100XIS Verification - Run Form.md,2022-01-01,FloodLAMP QMS SOP-302 100XIS Verification - Run Form,guides,manufacturing,,gdoc,docx,https://docs.google.com/document/d/1OkAplBX1wXaJ0g6SHvMH76DuvRYXXYz7,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/manufacturing/SOP-302%20100XIS%20Verification%20-%20Run%20Form.docx,https://drive.google.com/file/d/17gZaAVN_PZnOG81F7vwaNzTDuR74pjdI,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/manufacturing/SOP-302%20100XIS%20Verification%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,499,298,,"The FloodLAMP QMS SOP-302 is a verification run form for testing 100X Inactivation Solution (100XIS) batches via CLAMP amplification. It covers preparation steps including CLAMP MM volume calculation and 1XISS setup, followed by a standard Amp Run Sheet Short with amplification procedures (65°C for 25 min), positive/negative control handling, imaging, and result logging. The form includes write-in fields for heater IDs, reagent lots, reaction counts, and operator documentation.",0
Cost Model - FloodLAMP.md,2026-02-16 BA after RT initial conversion,Cost Model - FloodLAMP.md,2022-10-29,FloodLAMP Cost Model,guides,operations,,gsheet,xlsx,https://docs.google.com/spreadsheets/d/18F8cJ7T0qBaF9k7fSI5S5kFisnrAayJfrjh1DQRoXuE,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/operations/Cost%20Model%20-%20FloodLAMP.xlsx,NA,NA,xlsx,msmid,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,11317,5666,,"The FloodLAMP Cost Model spreadsheet provides detailed cost-of-goods-sold (COGS) analysis for the pooled LAMP-based SARS-CoV-2 screening assay, broken down by reagents (primers, inactivation solution, NEB LAMP master mix), consumables (plastics, tips), collection kits, and labor at various production scales (50K to 1M reactions). It includes supplementary sheets for inactivation/binding solution chemistry costs, primer synthesis pricing, solution preparation recipes, NEB OEM master mix volume pricing, throughput modeling, and example school screening project economics.",0
Inventory Dashboard - FloodLAMP (Updated Aug 2022).md,2026-03-03 BA after RT initial conversion,Inventory Dashboard - FloodLAMP (Updated Aug 2022).md,2022-08-29,FloodLAMP Inventory Dashboard (Updated Aug 2022),guides,operations,,gsheet,xlsx,https://docs.google.com/spreadsheets/d/1nbUmpJf2iGyJ4u03bYdk83R4k4-YOd9NJHYaG-zFV6k,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/operations/Inventory%20Dashboard%20-%20FloodLAMP%20%28Updated%20Aug%202022%29.xlsx,NA,NA,xlsx,msmid,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,11671,5300,,"The FloodLAMP Inventory Dashboard (Updated August 2022) tracks all supplies, reagents, equipment, and collection materials for the FloodLAMP pooled SARS-CoV-2 testing program, with current inventory counts at the Portola site, unit and bundle costs, product IDs, and a master inventory log with dates and notes across categories including lab consumables, reagents, equipment, lab supplies, collection materials, misc supplies, and training kits.",0
LAMP Primers UPDATED 12-17-2020.md,2026-01-21 RT,LAMP Primers UPDATED 12-17-2020.xlsx,2020-12-17,LAMP Primers UPDATED 12-17-2020,guides,operations,,xlsx,xlsx,https://docs.google.com/spreadsheets/d/1yrgBbJJtmFw3edxbjYx7XaO3ecsXNemaOtbrY2RnuoY,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/operations/LAMP%20Primers%20UPDATED%2012-17-2020.xlsx.xlsx,NA,NA,xlsx,pandas,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,1630,520,,"The FloodLAMP LAMP Primers list (updated 12/17/2020) specifies SARS-CoV-2 and human internal control primer sets derived from the Rabe–Cepko protocol, including sequences, mix concentrations, and ordering/handling notes (HPLC purification, resuspension, packaging, and minimum order quantities). It provides premix targets for 30X stock solutions for ORF1ab (AS1e), E gene (E1), N gene (N2), and human controls (RNaseP and ACTB) to support standardized assay preparation and procurement.",0
SOP-030-A_1 Shipping - Run Form.md,2025-12-15 RT updated metadata after BA fixed inconsistencies,SOP-030-A_1 Shipping - Run Form.md,2022-08-25,FloodLAMP QMS SOP-030-A_1 Shipping - Run Form,guides,qms-sops,operations,gdoc,docx,https://docs.google.com/document/d/1MP7r3NDctnwQJLbl2PKkOQPdX-S789Fw9EvIRoETvnI,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-030-A_1%20Shipping%20-%20Run%20Form.docx,https://drive.google.com/file/d/1oixE09e0pqHo8uFcBDhzC1OPvf5YzHMT,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-030-A_1%20Shipping%20-%20Run%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,592,322,,"The FloodLAMP QMS SOP-030-A_1 “Shipping - Run Form” is a step-by-step checklist and fill-in template for preparing, labeling, and sending shipments to sites, including inventory/lot and serial tracking and packing list creation. It standardizes the workflow from prep and documentation through carrier label/insurance handling and pickup/dropoff, then follow-up confirmation emails and logging the shipment run.",0
SOP-101-A_2 1X Inactivation Saline Solution Prep - Table Form.md,2025-12-14 RT after BA fixed inconsistencies,SOP-101-A_2 1X Inactivation Saline Solution Prep - Table Form.md,2022-08-24,FloodLAMP QMS SOP-101-A_2 1X Inactivation Saline Solution Prep - Table Form,guides,qms-sops,,gdoc,docx,https://docs.google.com/document/d/1YiosM1yHUjlkwg_aE_j-xyOyT_9hJk_tyT2OU4qDjW8,https://raw.githubusercontent.com/FocusOnFoundationsNonprofit/floodlamp-archive/main/guides/qms-sops/SOP-101-A_2%201X%20Inactivation%20Saline%20Solution%20Prep%20-%20Table%20Form.docx,https://drive.google.com/file/d/1P9W2Zu3esKwstzSynPQJKBlZu_PPjR0S,https://github.com/FocusOnFoundationsNonprofit/floodlamp-archive/blob/main/guides/qms-sops/SOP-101-A_2%201X%20Inactivation%20Saline%20Solution%20Prep%20-%20Table%20Form.pdf,docx,pandoc,CC BY 4.0 - https://creativecommons.org/licenses/by/4.0/,457,266,,"The FloodLAMP QMS SOP-101-A_2 provides a table-form protocol and log for preparing 1X Inactivation Saline Solution by diluting 100X Inactivation Solution 1:100 into saline with specified vortexing/mixing steps. It includes fields for lot numbers, freeze/thaw and expiration tracking, “put in use” documentation, and a preparation log table capturing volumes and IDs (1X_MMDD-1). The SOP sets the 1X solution expiration at 2 weeks after preparation.",0
