collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2021-12-10,5,5,0,0,0,0,0,5
2021-12-13,7,7,0,0,0,0,0,7
2021-12-15,4,4,0,0,0,0,0,4
2021-12-17,2,1,1,0,0,0,0,2
2021-12-19,1,1,0,0,0,0,0,1
2021-12-20,6,6,0,0,0,0,0,6
2021-12-21,2,2,0,0,0,0,0,2
2021-12-22,3,3,0,0,0,0,0,3
2021-12-26,1,1,0,0,0,0,0,1
2021-12-27,14,14,0,0,0,0,0,14
2021-12-29,4,4,0,0,0,0,0,4
2021-12-31,8,6,2,0,0,0,0,8
2022-01-03,14,10,4,0,0,0,0,14
2022-01-04,2,2,0,0,0,0,0,2
2022-01-05,18,15,3,0,0,0,0,18
2022-01-06,4,4,0,0,0,0,0,4
2022-01-07,16,12,3,1,0,0,0,16
2022-01-10,31,24,7,0,0,0,0,31
2022-01-12,22,18,4,0,0,0,0,22
2022-01-13,5,3,2,0,0,0,0,5
2022-01-14,17,12,5,0,0,0,0,17
2022-01-17,1,1,0,0,0,0,0,1
2022-01-18,33,24,9,0,0,0,0,33
2022-01-19,14,8,6,0,0,0,0,14
2022-01-20,1,0,1,0,0,0,0,1
2022-01-21,14,7,7,0,0,0,0,14
2022-01-24,16,12,4,0,0,0,0,16
2022-01-26,13,13,0,0,0,0,0,13
2022-01-28,7,7,0,0,0,0,0,7
2022-01-31,10,10,0,0,0,0,0,10
2022-02-02,9,8,1,0,0,0,0,9
2022-02-04,5,5,0,0,0,0,0,5
2022-02-07,13,12,1,0,0,0,0,13
2022-02-09,14,13,1,0,0,0,0,14
2022-02-11,9,7,2,0,0,0,0,9
2022-02-12,2,0,2,0,0,0,0,2
2022-02-15,33,33,0,0,0,0,0,33
2022-02-17,33,32,0,1,0,0,0,33
2022-02-19,31,31,0,0,0,0,0,31
2022-02-21,28,28,0,0,0,0,0,28
2022-02-22,1,0,1,0,0,0,0,1
2022-02-23,34,34,0,0,0,0,0,34
2022-02-25,33,33,0,0,0,0,0,33
2022-02-27,32,30,2,0,0,0,0,32
2022-03-01,33,33,0,0,0,0,0,33
2022-03-03,33,31,2,0,0,0,0,33
2022-03-05,34,33,1,0,0,0,0,34
2022-03-07,30,30,0,0,0,0,0,30
2022-03-09,27,27,0,0,0,0,0,27
2022-03-11,28,28,0,0,0,0,0,28
2022-04-14,1,1,0,0,0,0,0,1
2022-05-11,9,9,0,0,0,0,0,9
