section,metric,value,value_status,details,comments,source_sheet,source_row
Files,RFR File,BEND_RFR_deID_PUB,ok,,,Stats,1
Files,RTR File,NONE,ok,,,Stats,2
Files,RSR File,NONE,ok,,,Stats,3
Overall,Number of Tubes Tested (initial only - no re-runs),772,ok,initial run tubes only so excludes re-runs,,Stats,5
Overall,Number of Tube Tests Run (includes re-runs),792,ok,includes re-runs,,Stats,6
Overall,Number of Initial Runs,44,ok,,,Stats,7
Overall,Number of APS Only Tubes run,11,ok,,,Stats,8
Overall,Number of Test Reactions (RFR plus APS only tubes run),822,ok,includes technical replicates (the same tube sample in multiple reactions in the same run),,Stats,9
Overall,Number of Participant Results,767,ok,counts individual samples in pools and excludes re-runs,,Stats,11
Overall,Number of ARF Tubes,5,ok,tubes run and present in RFR but not in Appivo - created tube IDs that start with ARF,,Stats,12
Overall,Sum of Participant Results plus ARF Tubes,772,ok,Will be equal to the number of tubes tested if no pooling.,,Stats,13
Overall,Average Pool Level (excludes ARF),1,ok,,,Stats,14
Re-runs,Number of Run Tubes (re-runs only),20,ok,from RFR Audit Num Run Tubes,,Stats,17
Re-runs,Number of Reactions (re-runs only),27,ok,from RFR Audit Num rxns (excl ctrls),,Stats,18
Re-runs,Re-run % of Tubes,0.02590673575,ok,re-run / initial,,Stats,19
Re-runs,Number of Initial Runs with Re-runs,10,ok,,,Stats,20
Re-runs,% Initial Runs with Re-runs,0.2272727273,ok,,,Stats,21
Positives,Number of Tubes with Final Result Positive,71,ok,,,Stats,24
Positives,% of Tubes Positives (Final Result),0.09196891192,ok,,,Stats,25
Positives,Number of Cases with Final Result Positive (Indiv or Pool),51,ok,Subtract off Re-tests,,Stats,26
Positives,Known Positive Cases,0,ok,Previous tested (including by FloodLAMP test) or reported positive,,Stats,27
Positives,Unknown Positive Cases,51,ok,,,Stats,28
Inconclusives,Number of Tubes with Final Result Inconclusive,2,ok,,,Stats,31
