week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-12-06,2021-12-12,5,5,0,0,0,ok
2021-12-13,2021-12-19,13,13,1,0,0.07692307692,ok
2021-12-20,2021-12-26,12,12,0,0,0,ok
2021-12-27,2022-01-02,27,27,2,0,0.07407407407,ok
2022-01-03,2022-01-09,54,56,10,1,0.1785714286,ok
2022-01-10,2022-01-16,75,75,18,0,0.24,ok
2022-01-17,2022-01-23,63,63,23,0,0.3650793651,ok
2022-01-24,2022-01-30,36,36,4,0,0.1111111111,ok
2022-01-31,2022-02-06,24,24,1,0,0.04166666667,ok
2022-02-07,2022-02-13,38,38,6,0,0.1578947368,ok
2022-02-14,2022-02-20,97,97,0,1,0,ok
2022-02-21,2022-02-27,128,129,3,0,0.02325581395,ok
2022-02-28,2022-03-06,99,101,3,0,0.0297029703,ok
2022-03-07,2022-03-13,86,86,0,0,0,ok
2022-03-14,2022-03-20,0,0,0,0,,denom_zero
2022-03-21,2022-03-27,0,0,0,0,,denom_zero
2022-03-28,2022-04-03,0,0,0,0,,denom_zero
2022-04-04,2022-04-10,0,0,0,0,,denom_zero
2022-04-11,2022-04-17,1,1,0,0,0,ok
2022-04-18,2022-04-24,0,0,0,0,,denom_zero
2022-04-25,2022-05-01,0,0,0,0,,denom_zero
2022-05-02,2022-05-08,0,0,0,0,,denom_zero
2022-05-09,2022-05-15,9,9,0,0,0,ok
