collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2022-03-20,18,18,0,0,0,0,0,18
2022-03-21,26,25,1,0,0,0,0,26
2022-03-22,18,18,0,0,0,0,0,18
2022-03-23,32,32,0,0,0,0,0,32
2022-03-24,23,23,0,0,0,0,0,23
2022-04-02,2,2,0,0,0,0,0,2
2022-04-04,24,24,0,0,0,0,0,24
2022-04-05,20,20,0,0,0,0,0,20
2022-04-06,18,18,0,0,0,0,0,18
2022-04-07,35,35,0,0,0,0,0,35
2022-04-08,30,30,0,0,0,0,0,30
2022-04-11,24,24,0,0,0,0,0,24
2022-04-12,23,23,0,0,0,0,0,23
2022-04-13,21,21,0,0,0,0,0,21
2022-04-14,29,29,0,0,0,0,0,29
2022-04-15,23,23,0,0,0,0,0,23
2022-04-18,36,36,0,0,0,0,0,36
2022-04-19,18,18,0,0,0,0,0,18
2022-04-20,14,14,0,0,0,0,0,14
2022-04-21,40,39,1,0,0,0,0,40
2022-04-22,26,26,0,0,0,0,0,26
2022-04-25,26,25,1,0,0,0,0,26
2022-04-26,13,13,0,0,0,0,0,13
2022-04-27,15,15,0,0,0,0,0,15
2022-04-28,33,33,0,0,0,0,0,33
2022-04-29,21,20,1,0,0,0,0,21
2022-05-09,30,30,0,0,0,0,0,30
2022-05-10,14,14,0,0,0,0,0,14
2022-05-11,18,18,0,0,0,0,0,18
2022-05-12,33,33,0,0,0,0,0,33
2022-05-13,17,17,0,0,0,0,0,17
2022-05-16,26,26,0,0,0,0,0,26
2022-05-17,13,13,0,0,0,0,0,13
2022-05-18,10,10,0,0,0,0,0,10
2022-05-19,37,37,0,0,0,0,0,37
2022-05-20,13,13,0,0,0,0,0,13
2022-05-25,32,32,0,0,0,0,0,32
2022-05-26,19,19,0,0,0,0,0,19
2022-05-27,19,19,0,0,0,0,0,19
2022-05-28,36,36,0,0,0,0,0,36
2022-05-29,22,22,0,0,0,0,0,22
2022-05-30,24,24,0,0,0,0,0,24
2022-05-31,20,19,1,0,0,0,0,20
2022-06-01,16,16,0,0,0,0,0,16
2022-06-02,31,31,0,0,0,0,0,31
2022-06-03,23,23,0,0,0,0,0,23
2022-06-06,2,1,1,0,0,0,0,2
2022-06-07,16,16,0,0,0,0,0,16
2022-06-08,17,17,0,0,0,0,0,17
2022-06-09,20,20,0,0,0,0,0,20
2022-06-27,24,20,3,1,0,0,0,24
2022-06-28,25,24,0,1,0,0,0,25
2022-06-29,17,17,0,0,0,0,0,17
2022-07-01,24,23,0,1,0,0,0,24
2022-07-04,36,35,1,0,0,0,0,36
2022-07-05,19,19,0,0,0,0,0,19
2022-07-06,17,17,0,0,0,0,0,17
2022-07-07,34,34,0,0,0,0,0,34
2022-07-08,25,25,0,0,0,0,0,25
2022-07-11,27,27,0,0,0,0,0,27
2022-07-12,19,19,0,0,0,0,0,19
2022-07-13,17,17,0,0,0,0,0,17
2022-07-14,36,36,0,0,0,0,0,36
2022-07-15,23,23,0,0,0,0,0,23
2022-07-19,33,32,1,0,0,0,0,33
2022-07-20,27,27,0,0,0,0,0,27
2022-07-22,37,35,2,0,0,0,0,37
2022-08-01,24,24,0,0,0,0,0,24
2022-08-02,17,17,0,0,0,0,0,17
2022-08-03,13,13,0,0,0,0,0,13
2022-08-08,26,25,1,0,0,0,0,26
2022-08-09,20,20,0,0,0,0,0,20
2022-08-10,16,16,0,0,0,0,0,16
