week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2022-03-14,2022-03-20,18,18,0,0,0,ok
2022-03-21,2022-03-27,99,100,1,0,0.01,ok
2022-03-28,2022-04-03,2,2,0,0,0,ok
2022-04-04,2022-04-10,127,142,0,0,0,ok
2022-04-11,2022-04-17,120,120,0,0,0,ok
2022-04-18,2022-04-24,134,134,1,0,0.007462686567,ok
2022-04-25,2022-05-01,108,108,2,0,0.01851851852,ok
2022-05-02,2022-05-08,0,0,0,0,,denom_zero
2022-05-09,2022-05-15,112,112,0,0,0,ok
2022-05-16,2022-05-22,99,99,0,0,0,ok
2022-05-23,2022-05-29,128,137,0,0,0,ok
2022-05-30,2022-06-05,114,114,1,0,0.008771929825,ok
2022-06-06,2022-06-12,55,130,3,0,0.02307692308,ok
2022-06-13,2022-06-19,0,0,0,0,,denom_zero
2022-06-20,2022-06-26,0,0,0,0,,denom_zero
2022-06-27,2022-07-03,90,125,4,3,0.032,ok
2022-07-04,2022-07-10,131,132,1,0,0.007575757576,ok
2022-07-11,2022-07-17,122,123,0,0,0,ok
2022-07-18,2022-07-24,97,200,4,0,0.02,ok
2022-07-25,2022-07-31,0,0,0,0,,denom_zero
2022-08-01,2022-08-07,54,86,0,0,0,ok
2022-08-08,2022-08-14,62,62,1,0,0.01612903226,ok
2022-08-15,2022-08-21,0,37,0,0,0,ok
