collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2021-08-31,15,13,0,0,2,0,0,15
2021-09-01,13,12,0,0,1,0,0,13
2021-09-02,4,4,0,0,0,0,0,4
2021-09-06,2,1,0,0,1,0,0,2
2021-09-07,6,6,0,0,0,0,0,6
2021-09-08,18,15,0,0,3,0,0,18
2021-09-09,9,7,0,0,2,0,0,9
2021-09-14,9,8,0,0,1,0,0,9
2021-09-15,18,16,0,0,2,0,0,18
2021-09-16,5,5,0,0,0,0,0,5
2021-09-17,1,0,0,0,1,0,0,1
2021-09-20,1,1,0,0,0,0,0,1
2021-09-21,16,15,0,0,1,0,0,16
2021-09-22,24,17,0,0,7,0,0,24
2021-09-23,3,2,0,0,1,0,0,3
2021-09-27,1,1,0,0,0,0,0,1
2021-09-28,6,5,0,0,1,0,0,6
2021-09-29,22,21,0,0,1,0,0,22
2021-09-30,3,3,0,0,0,0,0,3
2021-10-04,1,1,0,0,0,0,0,1
2021-10-05,11,7,0,0,4,0,0,11
2021-10-06,19,12,0,0,7,0,0,19
2021-10-12,10,9,0,0,1,0,0,10
2021-10-13,19,17,0,0,2,0,0,19
2021-10-14,1,1,0,0,0,0,0,1
2021-10-19,3,0,0,0,3,0,0,3
2021-10-20,9,0,0,0,9,0,0,9
2021-10-21,2,0,0,0,2,0,0,2
2021-10-26,5,0,0,0,5,0,0,5
2021-10-27,18,0,0,0,18,0,0,18
2021-11-02,6,6,0,0,0,0,0,6
2021-11-03,15,12,0,0,3,0,0,15
2021-11-09,2,0,1,0,1,0,0,2
2021-11-10,14,0,13,0,1,0,0,14
2021-11-15,1,0,0,0,1,0,0,1
2021-11-16,4,3,0,0,1,0,0,4
2021-11-17,12,9,0,0,3,0,0,12
2021-11-19,1,1,0,0,0,0,0,1
2021-11-23,5,4,0,0,1,0,0,5
2021-11-24,4,4,0,0,0,0,0,4
2021-11-30,4,3,0,0,1,0,0,4
2021-12-01,19,15,0,0,4,0,0,19
2021-12-07,4,3,0,0,1,0,0,4
2021-12-08,16,16,0,0,0,0,0,16
2021-12-14,5,4,0,0,1,0,0,5
2021-12-15,16,11,1,1,3,0,0,16
2021-12-16,8,6,0,1,1,0,0,8
2021-12-20,2,0,2,0,0,0,0,2
2021-12-21,17,12,3,0,2,0,0,17
2021-12-22,28,24,2,0,2,0,0,28
2021-12-23,15,12,1,0,2,0,0,15
