section,metric,value,value_status,details,comments,source_sheet,source_row
Files,RFR File,NONE,ok,,,Stats,1
Files,RTR File,NONE,ok,,,Stats,2
Files,RSR File,COSP_RSR_deID_PUB,ok,,,Stats,3
Overall,Number of Tubes Tested (initial only - no re-runs),7146,ok,initial run tubes only so excludes re-runs,,Stats,5
Overall,Number of Tube Tests Run (includes re-runs),7146,ok,includes re-runs,no RFR so no info on re-runs,Stats,6
Overall,Number of Initial Runs,123,ok,,use collection date asuming all tubes run same day,Stats,7
Overall,Number of APS Only Tubes run,7146,ok,,No RFR so all tubes are APS Only,Stats,8
Overall,Number of Test Reactions (RFR plus APS only tubes run),7146,ok,includes technical replicates (the same tube sample in multiple reactions in the same run),,Stats,9
Overall,Number of Participant Results,22643,ok,counts individual samples in pools and excludes re-runs,,Stats,11
Overall,Number of ARF Tubes,0,ok,tubes run and present in RFR but not in Appivo - created tube IDs that start with ARF,,Stats,12
Overall,Sum of Participant Results plus ARF Tubes,22643,ok,Will be equal to the number of tubes tested if no pooling.,,Stats,13
Overall,Average Pool Level (excludes ARF),3.168625805,ok,,,Stats,14
Re-runs,Number of Run Tubes (re-runs only),,not_available,from RFR Audit Num Run Tubes,,Stats,17
Re-runs,Number of Reactions (re-runs only),,not_available,from RFR Audit Num rxns (excl ctrls),,Stats,18
Re-runs,Re-run % of Tubes,,not_available,re-run / initial,,Stats,19
Re-runs,Number of Initial Runs with Re-runs,,not_available,,,Stats,20
Re-runs,% Initial Runs with Re-runs,,not_available,,,Stats,21
Positives,Number of Tubes with Final Result Positive,347,ok,,,Stats,24
Positives,% of Tubes Positives (Final Result),0.0485586342,ok,,,Stats,25
Positives,Number of Cases with Final Result Positive (Indiv or Pool),,not_available,Subtract off Re-tests,Not Available - Data provided to FloodLAMP by does not enable us to calculate this,Stats,26
Positives,Known Positive Cases,,not_available,Previous tested (including by FloodLAMP test) or reported positive,Not Available - Coral Springs did not report this in RSR forms,Stats,27
Positives,Unknown Positive Cases,,not_available,,Not Available - Coral Springs did not report this in RSR forms,Stats,28
