week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-08-30,2021-09-05,111,32,0,0,0,ok
2021-09-06,2021-09-12,113,35,0,0,0,ok
2021-09-13,2021-09-19,110,33,0,0,0,ok
2021-09-20,2021-09-26,153,44,0,0,0,ok
2021-09-27,2021-10-03,116,32,0,0,0,ok
2021-10-04,2021-10-10,98,31,0,0,0,ok
2021-10-11,2021-10-17,100,30,0,0,0,ok
2021-10-18,2021-10-24,49,14,0,0,0,ok
2021-10-25,2021-10-31,84,23,0,0,0,ok
2021-11-01,2021-11-07,79,21,0,0,0,ok
2021-11-08,2021-11-14,61,16,14,0,0.875,ok
2021-11-15,2021-11-21,69,18,0,0,0,ok
2021-11-22,2021-11-28,30,9,0,0,0,ok
2021-11-29,2021-12-05,81,23,0,0,0,ok
2021-12-06,2021-12-12,76,20,0,0,0,ok
2021-12-13,2021-12-19,84,29,1,2,0.03448275862,ok
2021-12-20,2021-12-26,216,67,9,0,0.1343283582,ok
2021-12-27,2022-01-02,1263,418,58,0,0.1387559809,ok
2022-01-03,2022-01-09,2451,828,93,0,0.1123188406,ok
2022-01-10,2022-01-16,2580,858,74,0,0.08624708625,ok
2022-01-17,2022-01-23,2310,746,41,0,0.05495978552,ok
2022-01-24,2022-01-30,2649,844,30,0,0.0355450237,ok
2022-01-31,2022-02-06,2512,773,15,0,0.01940491591,ok
2022-02-07,2022-02-13,2469,744,8,0,0.01075268817,ok
2022-02-14,2022-02-20,2424,734,3,0,0.00408719346,ok
2022-02-21,2022-02-27,1865,570,1,0,0.001754385965,ok
2022-02-28,2022-03-06,488,153,0,0,0,ok
2022-03-07,2022-03-13,2,1,0,0,0,ok
