week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-08-30,2021-09-05,99,29,0,,0,ok
2021-09-06,2021-09-12,94,30,1,,0.03333333333,ok
2021-09-13,2021-09-19,92,28,0,,0,ok
2021-09-20,2021-09-26,111,35,0,,0,ok
2021-09-27,2021-10-03,112,31,0,,0,ok
2021-10-04,2021-10-10,56,17,0,,0,ok
2021-10-11,2021-10-17,91,30,0,,0,ok
2021-11-01,2021-11-07,66,18,0,,0,ok
2021-11-15,2021-11-21,47,13,0,,0,ok
2021-11-29,2021-12-05,146,41,14,,0.3414634146,ok
2021-12-13,2021-12-19,148,52,1,,0.01923076923,ok
2021-12-20,2021-12-26,162,51,8,,0.1568627451,ok
2021-12-27,2022-01-02,982,360,54,,0.15,ok
2022-01-03,2022-01-09,2158,794,93,,0.1171284635,ok
2022-01-10,2022-01-16,2198,788,74,,0.09390862944,ok
2022-01-17,2022-01-23,2090,729,43,,0.05898491084,ok
2022-01-24,2022-01-30,2350,811,33,,0.04069050555,ok
2022-01-31,2022-02-06,2239,751,14,,0.01864181092,ok
2022-02-07,2022-02-13,2169,720,9,,0.0125,ok
2022-02-14,2022-02-20,2178,713,3,,0.004207573633,ok
2022-02-21,2022-02-27,1679,552,1,,0.001811594203,ok
2022-02-28,2022-03-06,304,100,0,,0,ok
