week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-12-20,2021-12-26,4,1,0,0,0,ok
2021-12-27,2022-01-02,34,12,2,0,0.1666666667,ok
2022-01-03,2022-01-09,85,37,6,0,0.1621621622,ok
2022-01-10,2022-01-16,173,83,11,1,0.1325301205,ok
2022-01-17,2022-01-23,162,71,5,0,0.07042253521,ok
2022-01-24,2022-01-30,150,62,0,0,0,ok
2022-01-31,2022-02-06,143,58,0,0,0,ok
2022-02-07,2022-02-13,148,60,0,0,0,ok
2022-02-14,2022-02-20,128,54,0,1,0,ok
2022-02-21,2022-02-27,55,21,0,0,0,ok
2022-02-28,2022-03-06,51,25,0,0,0,ok
2022-03-07,2022-03-13,113,52,0,0,0,ok
2022-03-14,2022-03-20,91,42,0,0,0,ok
2022-03-21,2022-03-27,110,44,0,0,0,ok
2022-03-28,2022-04-03,22,9,0,0,0,ok
2022-04-04,2022-04-10,110,43,0,0,0,ok
2022-04-11,2022-04-17,100,40,0,0,0,ok
2022-04-18,2022-04-24,110,47,0,0,0,ok
2022-04-25,2022-05-01,107,42,0,0,0,ok
2022-05-02,2022-05-08,108,47,2,0,0.04255319149,ok
2022-05-09,2022-05-15,111,62,4,2,0.06451612903,ok
2022-05-16,2022-05-22,92,44,1,0,0.02272727273,ok
2022-05-23,2022-05-29,89,41,1,0,0.0243902439,ok
2022-05-30,2022-06-05,42,19,0,0,0,ok
