week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-08-30,2021-09-05,54,19,2,0,0.1052631579,ok
2021-09-06,2021-09-12,75,26,3,1,0.1153846154,ok
2021-09-13,2021-09-19,75,26,4,0,0.1538461538,ok
2021-09-20,2021-09-26,75,27,4,0,0.1481481481,ok
2021-09-27,2021-10-03,107,59,1,0,0.01694915254,ok
2021-10-04,2021-10-10,130,49,0,0,0,ok
2021-10-11,2021-10-17,91,40,0,0,0,ok
2021-10-18,2021-10-24,123,52,0,0,0,ok
2021-10-25,2021-10-31,80,30,1,0,0.03333333333,ok
2021-11-01,2021-11-07,61,28,3,0,0.1071428571,ok
2021-11-08,2021-11-14,80,34,2,0,0.05882352941,ok
2021-11-15,2021-11-21,111,41,0,0,0,ok
2021-11-22,2021-11-28,48,17,0,0,0,ok
2021-11-29,2021-12-05,117,62,0,0,0,ok
2021-12-06,2021-12-12,115,55,2,0,0.03636363636,ok
2021-12-13,2021-12-19,159,85,4,0,0.04705882353,ok
2021-12-20,2021-12-26,269,151,16,0,0.1059602649,ok
2021-12-27,2022-01-02,,,0,,,not_available
2022-01-03,2022-01-09,801,575,217,0,0.3773913043,ok
2022-01-10,2022-01-16,350,225,60,0,0.2666666667,ok
2022-01-17,2022-01-23,216,118,29,0,0.2457627119,ok
2022-01-24,2022-01-30,202,108,14,0,0.1296296296,ok
2022-01-31,2022-02-06,217,110,11,0,0.1,ok
2022-02-07,2022-02-13,223,91,9,0,0.0989010989,ok
2022-02-14,2022-02-20,227,92,2,0,0.02173913043,ok
2022-02-21,2022-02-27,168,63,0,0,0,ok
2022-02-28,2022-03-06,94,37,0,0,0,ok
2022-03-07,2022-03-13,70,26,0,0,0,ok
2022-03-14,2022-03-20,71,33,0,0,0,ok
