collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2020-12-11,2,2,0,0,0,0,0,2
2020-12-19,1,1,0,0,0,0,0,1
2020-12-22,1,1,0,0,0,0,0,1
2020-12-28,2,2,0,0,0,0,0,2
2021-01-11,4,4,0,0,0,0,0,4
2021-01-13,4,4,0,0,0,0,0,4
2021-01-15,7,4,3,0,0,0,0,7
2021-01-18,7,5,0,0,2,0,0,7
2021-01-20,7,7,0,0,0,0,0,7
2021-01-21,4,4,0,0,0,0,0,4
2021-01-22,4,4,0,0,0,0,0,4
2021-01-24,2,2,0,0,0,0,0,2
2021-01-25,4,4,0,0,0,0,0,4
2021-01-26,3,3,0,0,0,0,0,3
2021-01-27,3,3,0,0,0,0,0,3
2021-01-28,2,2,0,0,0,0,0,2
2021-01-29,4,4,0,0,0,0,0,4
2021-01-31,3,3,0,0,0,0,0,3
2021-02-01,4,4,0,0,0,0,0,4
2021-02-04,3,3,0,0,0,0,0,3
2021-02-05,3,3,0,0,0,0,0,3
2021-02-07,1,1,0,0,0,0,0,1
2021-02-08,4,4,0,0,0,0,0,4
2021-02-09,2,2,0,0,0,0,0,2
2021-02-10,2,2,0,0,0,0,0,2
2021-02-11,2,2,0,0,0,0,0,2
2021-02-12,3,3,0,0,0,0,0,3
2021-02-16,2,2,0,0,0,0,0,2
2021-02-21,2,2,0,0,0,0,0,2
2021-02-22,3,3,0,0,0,0,0,3
2021-02-23,2,2,0,0,0,0,0,2
2021-02-24,4,4,0,0,0,0,0,4
2021-03-02,2,2,0,0,0,0,0,2
2021-03-03,4,4,0,0,0,0,0,4
2021-03-04,1,1,0,0,0,0,0,1
2021-03-05,4,4,0,0,0,0,0,4
2021-03-08,4,4,0,0,0,0,0,4
2021-03-10,2,2,0,0,0,0,0,2
2021-03-12,3,3,0,0,0,0,0,3
2021-03-15,2,2,0,0,0,0,0,2
2021-03-17,4,4,0,0,0,0,0,4
2021-03-26,2,2,0,0,0,0,0,2
2021-03-29,2,2,0,0,0,0,0,2
2021-04-16,3,3,0,0,0,0,0,3
2021-05-09,1,1,0,0,0,0,0,1
2021-05-10,2,2,0,0,0,0,0,2
2021-05-18,6,6,0,0,0,0,0,6
2021-06-17,2,2,0,0,0,0,0,2
2021-09-03,4,4,0,0,0,0,0,4
2021-09-10,2,2,0,0,0,0,0,2
2021-09-13,3,3,0,0,0,0,0,3
2021-09-15,3,3,0,0,0,0,0,3
2021-09-21,2,2,0,0,0,0,0,2
2021-09-24,2,2,0,0,0,0,0,2
2021-10-04,2,2,0,0,0,0,0,2
2021-10-05,2,2,0,0,0,0,0,2
2021-10-10,3,3,0,0,0,0,0,3
2021-10-13,2,2,0,0,0,0,0,2
2021-10-16,3,3,0,0,0,0,0,3
2021-10-19,2,2,0,0,0,0,0,2
2021-10-21,3,3,0,0,0,0,0,3
2021-10-23,3,3,0,0,0,0,0,3
2021-10-30,2,2,0,0,0,0,0,2
2021-11-01,3,3,0,0,0,0,0,3
2021-11-02,2,2,0,0,0,0,0,2
2021-11-03,2,2,0,0,0,0,0,2
2021-11-05,2,2,0,0,0,0,0,2
2021-11-08,2,2,0,0,0,0,0,2
2021-11-10,2,2,0,0,0,0,0,2
2021-11-12,2,2,0,0,0,0,0,2
2021-11-15,2,2,0,0,0,0,0,2
2021-11-17,2,2,0,0,0,0,0,2
2021-11-19,2,2,0,0,0,0,0,2
2021-11-26,2,2,0,0,0,0,0,2
2021-11-28,11,11,0,0,0,0,0,11
2021-11-29,2,2,0,0,0,0,0,2
2021-11-30,2,2,0,0,0,0,0,2
2021-12-02,3,3,0,0,0,0,0,3
2021-12-06,5,5,0,0,0,0,0,5
2021-12-07,4,4,0,0,0,0,0,4
2021-12-09,2,2,0,0,0,0,0,2
2021-12-10,3,3,0,0,0,0,0,3
2021-12-11,2,2,0,0,0,0,0,2
2021-12-13,3,3,0,0,0,0,0,3
2021-12-14,7,7,0,0,0,0,0,7
2021-12-16,2,2,0,0,0,0,0,2
2021-12-18,6,4,2,0,0,0,0,6
2021-12-19,4,4,0,0,0,0,0,4
2021-12-20,5,5,0,0,0,0,0,5
2021-12-21,6,6,0,0,0,0,0,6
2021-12-22,7,6,1,0,0,0,0,7
2021-12-23,4,3,1,0,0,0,0,4
2021-12-24,4,3,1,0,0,0,0,4
2021-12-25,2,0,2,0,0,0,0,2
2021-12-26,2,1,1,0,0,0,0,2
2021-12-27,5,5,0,0,0,0,0,5
2021-12-28,4,4,0,0,0,0,0,4
2021-12-29,8,8,0,0,0,0,0,8
2021-12-30,4,4,0,0,0,0,0,4
2021-12-31,8,6,2,0,0,0,0,8
