section,metric,value,details,comments,source_sheet,source_row
Files,RFR File,FLMP_RFR_deID_PUB,,,Stats,1
Files,RTR File,FLMP_RTR_deID_PUB,,,Stats,2
Files,RSR File,NONE,,,Stats,3
Overall,Number of Tubes Tested (initial only - no re-runs),1540,initial run tubes only so excludes re-runs,,Stats,5
Overall,Number of Tube Tests Run (includes re-runs),1618,includes re-runs,,Stats,6
Overall,Number of Initial Runs,243,,divide CRLN by time period 1-2 to 5-31,Stats,7
Overall,Number of APS Only Tubes run,436,,divide CRLN by time period 1-2 to 5-31,Stats,8
Overall,Number of Test Reactions (RFR plus APS only tubes run),1915,includes technical replicates (the same tube sample in multiple reactions in the same run),divide CRLN by time period 1-2 to 5-31 - 135 is num FLSP tubes in CRLN time period and 1290 is num RFR audit rxns during CRLN time period,Stats,9
Overall,Number of Participant Results,3399,counts individual samples in pools and excludes re-runs,,Stats,11
Overall,Number of ARF Tubes,48,tubes run and present in RFR but not in Appivo - created tube IDs that start with ARF,all during CRLN period so assign to CRLN,Stats,12
Overall,Sum of Participant Results plus ARF Tubes,3447,Will be equal to the number of tubes tested if no pooling.,,Stats,13
Overall,Average Pool Level (excludes ARF),2.278150134,,,Stats,14
Re-runs,Number of Run Tubes (re-runs only),78,from RFR Audit Num Run Tubes,,Stats,17
Re-runs,Number of Reactions (re-runs only),230,from RFR Audit Num rxns (excl ctrls),,Stats,18
Re-runs,Re-run % of Tubes,0.05064935065,re-run / initial,,Stats,19
Re-runs,Number of Initial Runs with Re-runs,37,,,Stats,20
Re-runs,% Initial Runs with Re-runs,0.1522633745,,,Stats,21
Positives,Number of Tubes with Final Result Positive,57,,count from VALUES Pos and Incl,Stats,24
Positives,% of Tubes Positives (Final Result),0.03701298701,,,Stats,25
Positives,Number of Cases with Final Result Positive (Indiv or Pool),19,Subtract off Re-tests,,Stats,26
Positives,Known Positive Cases,3,Previous tested (including by FloodLAMP test) or reported positive,,Stats,27
Positives,Unknown Positive Cases,16,,,Stats,28
Inconclusives,Number of Tubes with Final Result Inconclusive,4,,,Stats,31
Inconclusives,Number of Tubes in RFR Audit Inconclusive not in Appivo Final Results,0,,,Stats,32
Inconclusives,Total Number of Inconclusive Tubes,4,,,Stats,33
Inconclusives,% of Tubes Inconclusive,0.002597402597,,,Stats,34
