week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2020-12-07,2020-12-13,6,2,0,0,0,ok
2020-12-14,2020-12-20,3,1,0,0,0,ok
2020-12-21,2020-12-27,2,1,0,0,0,ok
2020-12-28,2021-01-03,6,2,0,0,0,ok
2021-01-04,2021-01-10,0,0,0,0,,denom_zero
2021-01-11,2021-01-17,36,15,3,0,0.2,ok
2021-01-18,2021-01-24,49,24,0,0,0,ok
2021-01-25,2021-01-31,45,19,0,0,0,ok
2021-02-01,2021-02-07,31,11,0,0,0,ok
2021-02-08,2021-02-14,40,13,0,0,0,ok
2021-02-15,2021-02-21,14,4,0,0,0,ok
2021-02-22,2021-02-28,24,9,0,0,0,ok
2021-03-01,2021-03-07,35,11,0,0,0,ok
2021-03-08,2021-03-14,30,9,0,0,0,ok
2021-03-15,2021-03-21,16,6,0,0,0,ok
2021-03-22,2021-03-28,6,2,0,0,0,ok
2021-03-29,2021-04-04,6,2,0,0,0,ok
2021-04-05,2021-04-11,0,0,0,0,,denom_zero
2021-04-12,2021-04-18,8,3,0,0,0,ok
2021-04-19,2021-04-25,0,0,0,0,,denom_zero
2021-04-26,2021-05-02,0,0,0,0,,denom_zero
2021-05-03,2021-05-09,1,1,0,0,0,ok
2021-05-10,2021-05-16,5,2,0,0,0,ok
2021-05-17,2021-05-23,6,6,0,0,0,ok
2021-05-24,2021-05-30,0,0,0,0,,denom_zero
2021-05-31,2021-06-06,0,0,0,0,,denom_zero
2021-06-07,2021-06-13,0,0,0,0,,denom_zero
2021-06-14,2021-06-20,2,2,0,0,0,ok
2021-06-21,2021-06-27,0,0,0,0,,denom_zero
2021-06-28,2021-07-04,0,0,0,0,,denom_zero
2021-07-05,2021-07-11,0,0,0,0,,denom_zero
2021-07-12,2021-07-18,0,0,0,0,,denom_zero
2021-07-19,2021-07-25,0,0,0,0,,denom_zero
2021-07-26,2021-08-01,0,0,0,0,,denom_zero
2021-08-02,2021-08-08,0,0,0,0,,denom_zero
2021-08-09,2021-08-15,0,0,0,0,,denom_zero
2021-08-16,2021-08-22,0,0,0,0,,denom_zero
2021-08-23,2021-08-29,0,0,0,0,,denom_zero
2021-08-30,2021-09-05,7,4,0,0,0,ok
2021-09-06,2021-09-12,4,2,0,0,0,ok
2021-09-13,2021-09-19,9,6,0,0,0,ok
2021-09-20,2021-09-26,7,4,0,0,0,ok
2021-09-27,2021-10-03,0,0,0,0,,denom_zero
2021-10-04,2021-10-10,10,7,0,0,0,ok
2021-10-11,2021-10-17,11,5,0,0,0,ok
2021-10-18,2021-10-24,15,8,0,0,0,ok
2021-10-25,2021-10-31,2,2,0,0,0,ok
2021-11-01,2021-11-07,19,9,0,0,0,ok
2021-11-08,2021-11-14,15,6,0,0,0,ok
2021-11-15,2021-11-21,15,6,0,0,0,ok
2021-11-22,2021-11-28,43,12,0,0,0,ok
2021-11-29,2021-12-05,18,8,0,0,0,ok
2021-12-06,2021-12-12,39,19,0,0,0,ok
2021-12-13,2021-12-19,43,22,2,0,0.09090909091,ok
2021-12-20,2021-12-26,38,30,6,0,0.2,ok
2021-12-27,2022-01-02,78,43,6,0,0.1395348837,ok
2022-01-03,2022-01-09,94,43,7,0,0.1627906977,ok
2022-01-10,2022-01-16,183,93,15,1,0.1612903226,ok
2022-01-17,2022-01-23,177,86,9,0,0.1046511628,ok
2022-01-24,2022-01-30,154,65,0,0,0,ok
2022-01-31,2022-02-06,144,59,0,0,0,ok
2022-02-07,2022-02-13,148,60,0,0,0,ok
2022-02-14,2022-02-20,128,54,0,1,0,ok
2022-02-21,2022-02-27,55,21,0,0,0,ok
2022-02-28,2022-03-06,51,25,0,0,0,ok
2022-03-07,2022-03-13,113,52,0,0,0,ok
2022-03-14,2022-03-20,91,42,0,0,0,ok
2022-03-21,2022-03-27,113,47,0,0,0,ok
2022-03-28,2022-04-03,25,12,0,0,0,ok
2022-04-04,2022-04-10,119,47,0,0,0,ok
2022-04-11,2022-04-17,104,43,0,0,0,ok
2022-04-18,2022-04-24,116,53,0,0,0,ok
2022-04-25,2022-05-01,113,48,0,0,0,ok
2022-05-02,2022-05-08,114,53,2,0,0.03773584906,ok
2022-05-09,2022-05-15,117,67,4,2,0.05970149254,ok
2022-05-16,2022-05-22,102,51,1,0,0.01960784314,ok
2022-05-23,2022-05-29,93,44,1,0,0.02272727273,ok
2022-05-30,2022-06-05,49,22,0,0,0,ok
2022-06-06,2022-06-12,13,7,0,0,0,ok
2022-06-13,2022-06-19,7,5,0,0,0,ok
2022-06-20,2022-06-26,9,3,0,0,0,ok
2022-06-27,2022-07-03,4,3,0,0,0,ok
2022-07-04,2022-07-10,0,0,0,0,,denom_zero
2022-07-11,2022-07-17,0,0,0,0,,denom_zero
2022-07-18,2022-07-24,6,3,0,0,0,ok
2022-07-25,2022-07-31,8,4,0,0,0,ok
2022-08-01,2022-08-07,6,3,0,0,0,ok
2022-08-08,2022-08-14,0,0,0,0,,denom_zero
2022-08-15,2022-08-21,0,0,0,0,,denom_zero
2022-08-22,2022-08-28,4,1,0,0,0,ok
2022-08-29,2022-09-04,0,0,0,0,,denom_zero
2022-09-05,2022-09-11,8,3,0,0,0,ok
2022-09-12,2022-09-18,11,4,0,0,0,ok
2022-09-19,2022-09-25,10,4,0,0,0,ok
2022-09-26,2022-10-02,12,4,0,0,0,ok
2022-10-03,2022-10-09,13,5,0,0,0,ok
2022-10-10,2022-10-16,14,5,0,0,0,ok
2022-10-17,2022-10-23,12,4,0,0,0,ok
2022-10-24,2022-10-30,12,8,0,0,0,ok
2022-10-31,2022-11-06,11,5,0,0,0,ok
2022-11-07,2022-11-13,12,5,0,0,0,ok
2022-11-14,2022-11-20,8,5,0,0,0,ok
2022-11-21,2022-11-27,5,3,0,0,0,ok
2022-11-28,2022-12-04,13,5,0,0,0,ok
2022-12-05,2022-12-11,8,3,0,0,0,ok
2022-12-12,2022-12-18,23,11,1,0,0.09090909091,ok
2022-12-19,2022-12-25,10,6,0,0,0,ok
2022-12-26,2023-01-01,6,3,0,0,0,ok
2023-01-02,2023-01-08,7,3,0,0,0,ok
