section,metric,value,details,comments,source_sheet,source_row
Files,RFR File,FLMP_RFR_deID_PUB,,,Stats,1
Files,RTR File,FLMP_RTR_deID_PUB,,,Stats,2
Files,RSR File,NONE,,,Stats,3
Overall,Number of Tubes Tested (initial only - no re-runs),524,initial run tubes only so excludes re-runs,,Stats,5
Overall,Number of Tube Tests Run (includes re-runs),532,includes re-runs,,Stats,6
Overall,Number of Initial Runs,164,,divide CRLN by time period 1-2 to 5-31,Stats,7
Overall,Number of APS Only Tubes run,325,,divide CRLN by time period 1-2 to 5-31,Stats,8
Overall,Number of Test Reactions (RFR plus APS only tubes run),785,includes technical replicates (the same tube sample in multiple reactions in the same run),divide CRLN by time period 1-2 to 5-31 - 135 is num FLSP tubes in CRLN time period and 1290 is num RFR audit rxns during CRLN time period,Stats,9
Overall,Number of Participant Results,1059,counts individual samples in pools and excludes re-runs,,Stats,11
Overall,Number of ARF Tubes,0,tubes run and present in RFR but not in Appivo - created tube IDs that start with ARF,all during CRLN period so assign to CRLN,Stats,12
Overall,Sum of Participant Results plus ARF Tubes,1059,Will be equal to the number of tubes tested if no pooling.,,Stats,13
Overall,Average Pool Level (excludes ARF),2.020992366,,,Stats,14
Re-runs,Number of Run Tubes (re-runs only),8,from RFR Audit Num Run Tubes,,Stats,17
Re-runs,Number of Reactions (re-runs only),25,from RFR Audit Num rxns (excl ctrls),,Stats,18
Re-runs,Re-run % of Tubes,0.01526717557,re-run / initial,,Stats,19
Re-runs,Number of Initial Runs with Re-runs,6,,,Stats,20
Re-runs,% Initial Runs with Re-runs,0.03658536585,,,Stats,21
Positives,Number of Tubes with Final Result Positive,25,,count from VALUES Pos and Incl,Stats,24
Positives,% of Tubes Positives (Final Result),0.04770992366,,,Stats,25
Positives,Number of Cases with Final Result Positive (Indiv or Pool),6,Subtract off Re-tests,,Stats,26
Positives,Known Positive Cases,0,Previous tested (including by FloodLAMP test) or reported positive,,Stats,27
Positives,Unknown Positive Cases,6,,,Stats,28
Inconclusives,Number of Tubes with Final Result Inconclusive,0,,,Stats,31
Inconclusives,Number of Tubes in RFR Audit Inconclusive not in Appivo Final Results,0,,,Stats,32
Inconclusives,Total Number of Inconclusive Tubes,0,,,Stats,33
Inconclusives,% of Tubes Inconclusive,0,,,Stats,34
