collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2022-05-02,17,17,0,0,0,0,0,17
2022-05-08,1,1,0,0,0,0,0,1
2022-05-09,7,7,0,0,0,0,0,7
2022-05-15,1,1,0,0,0,0,0,1
2022-05-16,9,9,0,0,0,0,0,9
2022-05-23,8,8,0,0,0,0,0,8
2022-05-31,3,3,0,0,0,0,0,3
2022-06-01,10,10,0,0,0,0,0,10
2022-06-06,7,7,0,0,0,0,0,7
2022-06-13,4,4,0,0,0,0,0,4
2022-06-21,2,2,0,0,0,0,0,2
2022-06-27,1,1,0,0,0,0,0,1
2022-07-11,1,1,0,0,0,0,0,1
2022-07-18,1,1,0,0,0,0,0,1
2022-07-25,3,3,0,0,0,0,0,3
2022-08-01,1,1,0,0,0,0,0,1
2022-09-12,1,1,0,0,0,0,0,1
2022-10-03,1,1,0,0,0,0,0,1
