week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2022-05-02,2022-05-08,34,17,0,0,0,ok
2022-05-09,2022-05-15,22,9,0,0,0,ok
2022-05-16,2022-05-22,26,10,0,0,0,ok
2022-05-23,2022-05-29,22,8,0,0,0,ok
2022-05-30,2022-06-05,28,13,0,0,0,ok
2022-06-06,2022-06-12,19,8,0,0,0,ok
2022-06-13,2022-06-19,12,4,0,0,0,ok
2022-06-20,2022-06-26,4,2,0,0,0,ok
2022-06-27,2022-07-03,3,1,0,0,0,ok
2022-07-04,2022-07-10,0,0,0,0,,denom_zero
2022-07-11,2022-07-17,2,1,0,0,0,ok
2022-07-18,2022-07-24,2,1,0,0,0,ok
2022-07-25,2022-07-31,6,3,0,0,0,ok
2022-08-01,2022-08-07,3,1,0,0,0,ok
2022-08-08,2022-08-14,0,0,0,0,,denom_zero
2022-08-15,2022-08-21,0,0,0,0,,denom_zero
2022-08-22,2022-08-28,0,0,0,0,,denom_zero
2022-08-29,2022-09-04,0,0,0,0,,denom_zero
2022-09-05,2022-09-11,0,0,0,0,,denom_zero
2022-09-12,2022-09-18,4,1,0,0,0,ok
2022-09-19,2022-09-25,0,0,0,0,,denom_zero
2022-09-26,2022-10-02,0,0,0,0,,denom_zero
2022-10-03,2022-10-09,3,1,0,0,0,ok
