collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2021-09-28,3,3,0,0,0,0,0,3
2021-09-29,6,6,0,0,0,0,0,6
2021-09-30,4,4,0,0,0,0,0,4
2021-10-01,4,4,0,0,0,0,0,4
2021-10-04,21,21,0,0,0,0,0,21
2021-10-05,7,7,0,0,0,0,0,7
2021-10-06,22,22,0,0,0,0,0,22
2021-10-07,23,23,0,0,0,0,0,23
2021-10-08,11,11,0,0,0,0,0,11
2021-10-11,27,27,0,0,0,0,0,27
2021-10-12,5,5,0,0,0,0,0,5
2021-10-13,34,34,0,0,0,0,0,34
2021-10-14,7,7,0,0,0,0,0,7
2021-10-15,6,6,0,0,0,0,0,6
2021-10-19,25,25,0,0,0,0,0,25
2021-10-20,18,18,0,0,0,0,0,18
2021-10-21,11,11,0,0,0,0,0,11
2021-10-22,10,10,0,0,0,0,0,10
2021-10-25,24,24,0,0,0,0,0,24
2021-10-26,6,6,0,0,0,0,0,6
2021-10-27,11,11,0,0,0,0,0,11
2021-10-28,3,3,0,0,0,0,0,3
2021-10-29,9,9,0,0,0,0,0,9
2021-11-01,20,20,0,0,0,0,0,20
2021-11-02,6,6,0,0,0,0,0,6
2021-11-03,20,20,0,0,0,0,0,20
2021-11-05,22,22,0,0,0,0,0,22
2021-11-08,10,10,0,0,0,0,0,10
2021-11-09,24,24,0,0,0,0,0,24
2021-11-10,4,4,0,0,0,0,0,4
2021-11-11,25,25,0,0,0,0,0,25
2021-11-12,1,1,0,0,0,0,0,1
2021-11-15,24,24,0,0,0,0,0,24
2021-11-16,11,11,0,0,0,0,0,11
2021-11-17,13,13,0,0,0,0,0,13
2021-11-18,8,8,0,0,0,0,0,8
2021-11-19,20,20,0,0,0,0,0,20
2021-11-22,34,34,0,0,0,0,0,34
2021-11-28,2,2,0,0,0,0,0,2
2021-11-29,37,37,0,0,0,0,0,37
2021-11-30,3,3,0,0,0,0,0,3
2021-12-01,12,12,0,0,0,0,0,12
2021-12-02,7,7,0,0,0,0,0,7
2021-12-06,26,26,0,0,0,0,0,26
2021-12-07,18,18,0,0,0,0,0,18
2021-12-08,5,5,0,0,0,0,0,5
2021-12-09,18,18,0,0,0,0,0,18
2021-12-10,17,17,0,0,0,0,0,17
2021-12-13,25,24,1,0,0,0,0,25
2021-12-14,27,27,0,0,0,0,0,27
2021-12-15,21,21,0,0,0,0,0,21
2021-12-16,12,12,0,0,0,0,0,12
2021-12-17,12,12,0,0,0,0,0,12
