week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-09-27,2021-10-03,17,17,0,0,0,ok
2021-10-04,2021-10-10,84,84,0,0,0,ok
2021-10-11,2021-10-17,79,79,0,0,0,ok
2021-10-18,2021-10-24,64,64,0,0,0,ok
2021-10-25,2021-10-31,53,53,0,0,0,ok
2021-11-01,2021-11-07,68,68,0,0,0,ok
2021-11-08,2021-11-14,64,64,0,0,0,ok
2021-11-15,2021-11-21,76,76,0,0,0,ok
2021-11-22,2021-11-28,36,36,0,0,0,ok
2021-11-29,2021-12-05,59,59,0,0,0,ok
2021-12-06,2021-12-12,84,84,0,0,0,ok
2021-12-13,2021-12-19,97,97,1,0,0.01030927835,ok
