week_start_date,week_end_date,participants_n,tubes_n,positive_tubes_n,inconclusive_tubes_n,pct_positive,pct_positive_status
2021-10-04,2021-10-10,87,87,0,0,0,ok
2021-10-11,2021-10-17,79,79,0,0,0,ok
2021-10-18,2021-10-24,67,67,0,0,0,ok
2021-10-25,2021-10-31,60,60,0,0,0,ok
2021-11-01,2021-11-07,72,72,0,0,0,ok
2021-11-08,2021-11-14,62,62,0,0,0,ok
2021-11-15,2021-11-21,75,75,0,0,0,ok
2021-11-22,2021-11-28,35,35,0,0,0,ok
2021-11-29,2021-12-05,65,65,0,0,0,ok
2021-12-06,2021-12-12,87,87,0,0,0,ok
2021-12-13,2021-12-19,96,96,1,0,0.01041666667,ok
